page_num,img_file,ocr_engine,translator,line_num,German,English
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,1,"H«-«« , « , f - -«-j E","h « - « «, «, f - « - each"
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,2,"..- « I « . . « -)«-.""-«z",.. - & quot ; i & quot ;.. «
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,3,— Vorwort. . - .,- ) « -. & quot ; - « z - foreword
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,4,.. Ju den etwas mehr als 16 Jahren meines Wirkens alSHYHT,.. -... ju the little more than 16 years
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,5,"Lehrer an der Schule der Schoweer ref. Kirchengemeinde, ist eszPizi",of my work as a teacher at the school of the schoweer ref
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,6,"mir sehr oft aufgefallen, wie wenig man über die Vergangenheka",". parish, eszpizi i very often noticed how little one knows about"
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,7,"der Gemeinde weiß, wie lückenhaft nnd oft unrichtig «selbstz.--d,aså«77«-HF",the past of the parish how incomplete and often incorrect « selz.
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,8,"— jenige ist, was Inan zu wissen glaubt. , W«"" IT E","- d, aså « 77 « - hf - what is believed"
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,9,"- Dies veranlaßte mich, die Geschichtel unserer Westens-de W ·","to know inan., w « & quot ; it e -"
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,10,"— soweit es überhaupt heute, nach lZLJghreszsmsä",this prompted me to read the history of our west - de w
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,11,"ist — ans Protokolleu, Urkunden, Aufzeichnungeniäisöfksw. z -1.'1-.-.«z,.","· - as far as it is today, according to lzljghreszsmsä is"
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,12,"forschen undder Vergessenheit zu entreißen T-«s’-i’?J’""""-«","- ans protocols, certificates, records iäisöfksw. z - 1."
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,13,Besonderen Dank bin ich den Herren Stefan Geyer PLZU III-s,"& # 39 ; 1 -. -. « z,."
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,14,"Johann Haller (Fritze) Nr. 133 und Michael Brücker-Nr.1""—l-,tkfs",do research and wrench from oblivion t - « s & # 39
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,15,"schuldig, die mirliiber manches Geschehnis früherer Zeiten Ans- ««--.""",; - i & # 39 ; ? j & # 39 ;
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,16,"kunft geben konnten, wie auch dein — Inittlerweile infolgel eines z ls—",& quot ; & quot ; - « special thanks to stefan geyer
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,17,Unglücksfalles schon dahingeschiedenen — Johann Bolz (Buchmanne - F ·,plzu iii - s johann haller ( fritze ) no. 133 and
